Character	Canonical Name	Gender	Address 1	Address 2	Address 3	Politics	Marital Status	Opponent	Typical Activity	Vehicle of Choice	Weapon of Choice	Seen Wearing	Domains	Genres	Fictive Status	Portrayed By	Creator	Creation	Group Affiliation	Fictional World	Category	Negative Talking Points	Positive Talking Points
Stephen Jay Gould	Stephen Jay-Gould	male	Queens	New York City	USA	left	married	Richard Dawkins, Richard C. Lewontin	collecting fossils, promoting evolutionary theory	Segway scooter	dinosaur tooth	tweed jacket, leather elbow patches	Evolution, Humanism	science, television				Punctuated Equilibrium			Evolutionary Biologist, Paleontologist, Writer	preachy, quarrelsome, pugnacious, impish	insightful, eloquent, passionate, clever, widely-read, empirical, influential, impish
Carrie Bradshaw	Carrie Bradshaw	female	Manhattan	New York City	USA	left	married to Mr. Big		writing about sex, shopping for shoes, gossiping with galpals	New York taxicab	sharpened stiletto heel, pepper spray	Manolo Blahniks, Jimmy Choo shoes	Sex and the City, Manhattan	television, 	fictional	Sarah Jessica Parker	Candace Bushnell	Sex and the City		Sex and the City	Writer, Shopper, Diarist	shallow, grating, whiny	affable, witty, eloquent, fashionable
Enrico Caruso	Enrico Caruso	male	Piazza Ottocalli	Naples	Italy				singing opera arias		shattering voice	Pagliacci clown suit	Opera	music, singing							Singer, Opera Singer	egotistical, fat, overweight, hackneyed	tuneful, melodic, 
Cary Grant	Cary Grant	male	Beverly Hills, Hollywood	California	USA		married	Gary Cooper	starring in romantic comedies	MG Magnette, Sunbeam Alpine	arsenic and old lace	dapper suit	Acting, Hollywood	movies							Actor	glib, superficial, facile, pretentious	suave, sophisticated, witty, urbane, debonair, charming, charming
Giacomo Casanova	Giacomo Casanova	male	Palazzo Malipiero	Venice	Italy	libertarian	single		chasing after women, seducing women, womanizing	horse-drawn carriage	aphrodisiac overdose	silk trousers	Italian culture, Italian culture, Romance	history, culture		Heath Ledger					Lover, Writer, Diarist	lusty, priapic, adulterous, womanizing	suave, persuasive, persistent, romantic, charming
Charlemagne	Charlemagne	male			Francia				running an empire, consolidating an empire	sedan chair	broad sword	decorative suit of armor	the Medieval world, European history	history, culture, politics					The Holy Roman Empire		Emperor, Politician, Conqueror	controlling, overly-ambitious, ruthless	powerful, successful, dominant, unifying, book-loving
Charles Atlas	Charles Atlas	male	Long Beach	New York City	USA	right			working out, bodybuilding		roundhouse punch	speedos	Bodybuilding	sport							Bodybuilder, Businessman	musclebound, stiff, egotistical, self-promoting	muscular, well-built, athletic, handsome, strong, toned
Charles Darwin	Charles Darwin	male	Down House	Downe	UK	left	married	Alfred Russel Wallace, Richard Owen	explaining evolution, promoting Darwinism, explaining natural selection	HMS Beagle	dinosaur tooth	starched collar	the Natural Sciences, Evolution	science				Natural Selection	Darwinism		Scientist, Evolutionary Biologist,  Pioneer	shy	insightful, modest, clever, intelligent, brave, original
Charles Dickens	Charles Dickens	male	Gads Hill Place	Rochester	UK	left	married	William Makepeace Thackeray	writing about social problems, writing serialized stories	horse-drawn carriage	workhouse sledgehammer	starched collar, top hat, Astrakhan coat	Victorian literature	literature		Ralph Fiennes		David Copperfield, Great Expectations, Oliver Twist, A Christmas Carol			Writer, Novelist	dense, long-winded, sesquipedalian	detail-oriented, clever, eloquent, engrossing
Charles Foster Kane	Charles Fostee-Kane	male	Xanadu Mansion	California	USA	right	married	Orson Welles	running a newspaper empire, publishing newspapers, running for governor, promoting yellow journalism	Rosebud sled	Rosebud sleigh runner	three-piece suit	the Newspaper industry, Citizen Kane	business, politics, publishing	fictional	Orson Welles	Orson Welles	Xanadu	Xanadu	Citizen Kane	Billionaire, Media Tycoon, Publisher	arrogant, unsophisticated, crass, manipulative, boastful, megalomaniacal, egotistical, hypocritical	rich, powerful, ambitious
Charlie Brown	Charlie Brown	male	Minneapolis	Minnesota	USA		single	Lucy van Pelt	playing baseball, worrying about life	sleigh	baseball bat	short pants	Peanuts, American culture	comics, cartoons, culture	fictional		Charles M. Schulz			Peanuts	Child, Schoolkid	neurotic, ineffective, whiny, weak	humble, modest, decent
Charlie Chaplin	Charlie Chaplin	male	Walworth	London	UK	left	married, divorced, married	Buster Keaton, J. Edgar Hoover	twirling a cane, rescuing kids, struggling with modern times	1929 Pierce-Arrow	twirling cane	tramp suit, baggy trousers	Black-and-white movies, Comedy, Hollywood	comedy				The Tramp	United Artists		Actor, Comedian, Director	unfaithful, adulterous, 	funny, witty, graceful, entertaining, creative, lovable
Charlie Parker	Charlie Parker	male	151 Avenue B 	New York City	USA				playing jazz saxophone	New York taxicab	saxophone, hypodermic needle		Jazz	music							Saxophonist, Musician	drug-addled, unreliable, 	tuneful, melodic, passionate, groovy
Che Guevara	Che Guevara	male	Rosario	Buenos Aires	South America	left		Fidel Castro	spreading revolution, promoting communism, promoting socialism	500cc Norton motorcycle	Argentinian steak knife	Basque beret, military fatigues	Cuban politics, the Cuban revolution, Cuba	politics, history		Benicio del Toro		The Cuban Revolution	Communist Party of Cuba		Rebel, Revolutionary, Politician	violent, 	brave, inspiring, handsome, iconic, zealous
Christian Bale	Christian Bale	male	Beverly Hills, Hollywood	California	USA			Leonardo DiCaprio	starring in action movies, wearing a batsuit	Batmobile	foul-mouthed rant	Batman costume, black cape	Hollywood, Acting	movies							Actor	aggressive, unstable, moody, mouthy, 	passionate, committed, compelling, uncompromising, intense
Christopher Columbus	Christopher Columbus	male		Genoa	Italy			Martin Alonso Pinzon	searching for a new world, exploring the new world	Nina		sailor hat	the Americas, the Age of Discovery	history, exploration		Gérard Depardieu		The New World			Explorer, Discoverer, Pioneer	opportunistic, unscrupulous, overambitious	farseeing, adventurous, intrepid, bold, driven
Christopher Hitchens	Christopher Hitchens	male		Washington D.C.	USA	left	married	Jerry Falwell, Henry Kissinger, Mother Teresa	ranting about politics		righteous indignation		Political criticism, the Left	politics							Writer, Pundit	argumentative, opinionated, rude, glib	passionate, eloquent, witty, humorous, insightful, courageous
Chuck Norris	Chuck Norris	male	Navasota	Texas	USA	right	married		starring in action movies	Jeep Wrangler	wooden acting, 	khakis, camo gear	Hollywood, Acting, Action movies	movies							Actor, Martial Artist	dense, inarticulate, simple-minded, gung-ho, wooden, stiff	agile, strong, determined, tough
Cicero	Cicero	male		Rome	Italy		married	Julius Caesar	giving speeches, defending plaintiffs	sedan chair	gilded oratory	toga	Oratory, Rhetoric, Ancient Rome, Roman politics	history, culture, politics					The Roman Empire		Orator, Politician, Lawyer	ambitious, political	eloquent, inspiring, intellectual, educated, logical
Clark Gable	Clark Gable	male	Beverly Hills, Hollywood	California	USA		married		starring in Hollywood movies, 	1935 Duesenberg JN 	lantern jaw	sharp suit	Hollywood, Acting	movies							Actor	shallow, wooden	handsome, chiseled, charismatic
Clark Kent	Clark Kent	male	The Daily Planet	Metropolis	USA		married to Lois Lane	Lex Luthor	reporting for The Daily Planet	New York taxicab	sharpened pencil, super-strength, heat vison	bad suit, spectacles	DC Comics, Metropolis, the Daily Planet	comics, movies	fictional	Christopher Reeve, Henry Cavill, George Reeves	Jerry Siegel, Joe Shuster		The Daily Planet	Superman	Reporter, Journalist	shy, humble, inconfident, dull	reliable, decent, hard-working, 
Cleopatra	Cleopatra	female	Alexandria	Egypt			married to Julius Caesar	Caesar Augustus	seducing emperors	sedan chair	poison asp	white satin dress, gold tiara	Ancient Egypt,	history, culture, politics		Elizabeth Taylor					Queen, Political Leader	overambitious, bossy, manipulative	beautiful, seductive, exotic, cunning
Clint Eastwood	Clint Eastwood	male	Carmel, Big Sur	California	USA	right	married		starring in action movies, directing movies	Gran Torino	six shooter, .357 Magnum	poncho, cowboy hat, leather chaps	Hollywood, Acting	movies							Actor, Director, Pianist	terse, gruff, surly, intimidating, grizzled	tough, handsome, strong, rugged
Colin Farrell	Colin Farrell	male	Castleknock	Dublin	Ireland		single	Jamie Foxx	starring in Hollywood movies, starring in indy movies, womanizing, making unauthorized sex tapes	old Ford Bronco	bad boy charm	scruffy T-shirt	Hollywood, Acting	movies							Actor, Lothario	vulgar, brash, uncouth, womanizing	handsome, charming, affable, rugged
Colonel Sanders	Colonel Sanders	male	Louisville	Kentucky	USA	right	married	Ronald McDonald, Ray Kroc	deep-frying chicken, selling fried chicken	KFC truck	high-fat diet, greasy drumstick	Kentucky bow tie, goatee, white seersucker suit	KFC, Fried Chicken, Southern Food, Fast Food	business				Kentucky Fried Chicken	Kentucky Fried Chicken		Businessman, Restauranteur	manipulative, old	charming, polite, avuncular
Confucius	Confucius	male		Shandong	China		married		teaching philosophy, spreading philosophy, teaching the next generation	sedan chair	poisoned fortune cookie, sharpened chop stick	straw hat, oriental robe	Chinese philosophy, Eastern philosophy	philosophy				Confucianism			Philosopher	preachy, stern, bossy, humorless	wise, erudite, farseeing, eloquent
Copernicus	Copernicus	male		Torun	Poland		single	Ptolemy	promoting Heliocentrism,	horse-drawn carriage	wooden ruler	cowl	Astronomy, the Cosmos, Medieval science	science				Heliocentrism			Scientist, Monk, Pioneer, Heretic	timid, overly-cautious	insightful, systematic, revolutionary
Cosmo Kramer	Cosmo Kramer	male	Manhattan	New York City	USA		single		mooching from neighbors, developing crazy schemes	New York taxicab	bad breath, body odor, 	bowling shirt, loud shirt	The Seinfeld Chronicles, Comedy	television, culture	fictional	Michael Richards	Jerry Seinfeld, Larry David	Kramerica	Kramerica	Seinfeld	Scrounger, Neighbour	scrounging, troublesome, madcap, crazy, irksome, nutty, tactless	affable, neighborly, loyal
Courtney Love	Courtney Love	female	San Francisco	California	USA	left	widowed by Kurt Cobain	Dave Grohl	playing grungy music	pink Cadillac	pepper spray, Taser gun, knee kick	bin bag	Rock music, Alternative Rock	music, singing				Hole	Hole		Rock Singer, Singer, Widow	tacky, sleazy, vulgar, unattractive, shameless	forceful, confident, assertive, uninhibited
Croesus	Croesus	male			Lydia	right			collecting treasures, ruining an empire	sedan chair	golden sword	gold toga	Lydia, the Ancient world	history, culture, politics							King, Billionaire	decadent, spoiled, greedy, corrupt	rich, privileged, wealthy, powerful
Herodotus	Herodotus	male	Halicarnassus	Turkey					writing about history, recording history	sedan chair	Greek fire	toga	Ancient Greece, the Ancient world	history, culture							Historian, Writer	critical, overly-folksy	systematic, scholarly, well-informed, insightful, historically-reliable, judicious
Daffy Duck	Daffy Duck	male	Duckberg	California	USA		single	Bugs Bunny	chasing rabbits, spitting while speaking	cartoon jalopy	Quack Fu		Looney Tunes, Warner Bros animation	cartoons	fictional	Mel Blanc	Chuck Jones			Looney Tunes	Duck	lisping, brash, combative, slobbery, insecure, paranoid	zany, jealous, daffy
Dame Edna Everage	Edna Everage	female	Moonee Ponds	Melbourne	Australia		married	Sir Les Patterson	moaning about men	pink limousine	lady's fan	ball gown	Australia, Drag, Cross-Dressing	comedy, television		Barry Humphreys	Barry Humphries 				Cross Dresser, Transvestite, Female Impersonator	sarcastic, sharp-tongued, ugly	witty, entertaining, ironic, insightful
Dan Brown	Dan Brown	male	Boston	Massachusetts	USA		married		writing pot-boilers	gold-plated bookmobile	nails of the holy cross	Harris tweed	The Da Vinci Code, Popular fiction, 	literature				The Da Vinci Code, Robert Langdon			Writer, Novelist	unimaginative, hackneyed, contrived, formulaic	prolific, widely-read, popular,bestselling
Robert Langdon	Robert Langdon	male	Cambridge	Massachusetts	USA		single	The Illuminati	studying symbols, studying icons, following clues	Da Vinci's helicopter	holy hand grenade of Antioch	Harris tweed jacket, Mickey Mouse watch	Symbology, Religious Iconology	religion, philosophy	fictional	Dan Brown	Tom Hanks		Harvard University	The Da Vinci Code	Professor, Symbologist	claustrophobic, pretentious, know-it-all	brilliant, analytical, memorious, tenacious, learned, intrepid
Dan Quayle	Dan Quayle	male	Indianapolis	Indiana	USA	right	married	Llyod Bentsen	campaigning for the senate		potatoe gun	dunce cap	American politics, the Right	politics					The Republican Party		Politician, Vice President	stupid, inept, obtuse, unintelligent, vapid	handsome, chiseled, cleancut
Daniel Craig	Daniel Craig	male		Warwickshire	USA	left	married		starring in action movies, starring in indy movies, playing James Bond	Aston Martin V12 Vantage Roadster	Walther PPK 	tuxedo	Acting, James Bond	movies							Actor, Action Star	craggy, bat-earred	intense, tough, rugged,
Daniel Boone	Daniel Boone	male	Defiance	Missouri	USA				hunting raccoons	horse	musket	raccoon-skin cap	the American West, 	history, culture		Harry Carey, Jr.					Hunter, Adventurer, Outdoorsman	sweaty, primitive, unsophisticated	tough, adventurous, capable, intrepid, rugged
Dante Alighieri	Dante Alighieri	male		Florence	Italy		single		writing poetry	horse-drawn carriage	incisive wit	doublet	Italian literature, Italian poetry	poetry, literature				The Inferno, The Divine Comedy			Writer, Poet	sharp-tongued, bitter, disappointed, lovelorn	witty, poetic, lyrical, eloquent, 
Darth Maul	Darth Maul	male			Dathomir	right	single	Obi-wan Kenobi, Qui-Gon Jinn	promoting the Dark Side, fighting the forces of good, duelling acrobatically	Sith Infiltrator	double-edged lightsaber	red face-paint, ninja suit 	Star Wars, the Dark Side	science fiction	fictional	Ray Park	George Lucas		The Sith	Star Wars: The Phantom Menace, Star Wars	Villain, Henchman, Jedi Knight	evil, violent, unfeeling, malevolent	skillful, graceful, balletic, nimble, cunning
Darth Vader	Darth Vader	male			Tatooine	right	single	Obi-wan Kenobi, Luke Skywalker, Yoda	promoting the Dark Side, working for the forces of darkness, fighting the forces of good, duelling acrobatically	imperial battle cruiser	Jedi lightsaber, Jedi chokehold	black cape, cool helmet, black leather trousers, knee-high boots	Star Wars, the Dark Side	science fiction	fictional	James Earl Jones	George Lucas	The Death Star	The Sith	Star Wars, The Empire Strikes Back, Return of the Jedi	Villain, Father, Henchman, Jedi Knight	evil, violent, unfeeling, malevolent, raspy, ruthless	skillful, graceful, balletic, nimble, cunning, tall, strong, spiritual, deep-voiced
Davy Crockett	Davy Crockett	male		Tennessee	USA	libertarian	married	Santa Anna	hunting raccoons, defending freedom	horse	hunting knife, musket rifle	raccoon-skin cap	American politics	history, culture, politics		John Wayne				The Alamo	Frontiersman, Politician, Hero, Hunter, Outdoorsman	old-fashioned, unrefined, self-promoting, boastful	heroic, daring, intrepid, adventurous, brave, outdoorsy, patriotic, rebellious, sharpshooting, tale-spinning, larger-than-life 
