Label	Subject	Verbs	Object
actor:madman	Actor	fear, are_intimidated_by, are_threatened_by, are_mistaken_for	Madman
actor:criminal	Actor	are_led_astray_by, are_corrupted_by, are_blackmailed_by, grow_suspicious_of	Criminal
actor:terrorist	Actor	are_led_astray_by, are_killed_by, are_targeted_by, are_mistaken_for	Terrorist
actor:clown	Actor	joke_about, laugh_at, imitate, mimic	Clown
maniac:hero	Maniac	attack, assault, fight_against, are_defeated_by, are_pursued_by, are_arrested_by	Hero
maniac:superhero	Maniac	attack, assault, fight_against, are_defeated_by, are_pursued_by, are_arrested_by, confess_to	Superhero
madman:hero	Madman	attack, assault, fight_against, are_defeated_by, are_pursued_by, are_arrested_by	Hero
madman:superhero	Madman	attack, assault, fight_against, are_defeated_by, are_pursued_by, are_arrested_by, confess_to	Superhero
criminal:hero	Criminal	are_arrested_by, are_detained_by, are_pursued_by, underestimate	Hero
criminal:superhero	Criminal	are_arrested_by, are_detained_by, are_pursued_by, underestimate	Superhero
terrorist:hero	Terrorist	target, are_arrested_by, are_detained_by, are_pursued_by, taunt, underestimate, disgust	Hero
terrorist:superhero	Terrorist	target, are_arrested_by, are_detained_by, are_pursued_by, are_defeated_by, taunt	Superhero
clown:hero	Clown	laugh_at, mock, taunt, spread_lies_about, joke_about	Hero
clown:superhero	Clown	laugh_at, mock, taunt, spread_lies_about, joke_about	Superhero
crimeboss:crime fighter	Crimeboss	confess_to, are_arrested_by, are_pursued_by, underestimate	Crime Fighter
crimeboss:policeman	Crimeboss	are_imprisoned_by, are_incarcerated_by, confess_to, are_accused_by	Policeman
crimeboss:fbi agent	Crimeboss	are_investigated_by, are_imprisoned_by, are_incarcerated_by, confess_to, are_accused_by	FBI Agent
crime fighter:crimeboss	Crime Fighter	arrest, prosecute, charge, accuse, pursue, are_underestimated_by	Crimeboss
policeman:crimeboss	Policeman	investigate, arrest, cross_examine	Crimeboss
fbi agent:crimeboss	FBI Agent	investigate, arrest, cross_examine	Crimeboss
campaigner:politician	Campaigner	campaign_for, vote_for, lose_faith_in, vote_against, shill_for, lie_for, advise	Politician
campaigner:president	Campaigner	campaign_for, vote_for, lose_faith_in, vote_against, shill_for, lie_for, advise	President
campaigner:political leader	Campaigner	campaign_for, vote_for, lose_faith_in, vote_against, shill_for, lie_for, advise	Political Leader
politician:politician	Politician	run_against, vote_against, campaign_against	Politician
politician:president	Politician	run_against, vote_against, campaign_against	President
politician:political leader	Politician	run_against, vote_against, campaign_against	Political Leader
vice president:politician	Vice President	run_against, vote_against, campaign_against	Politician
vice president:president	Vice President	run_against, vote_against, campaign_against	President
vice president:political leader	Vice President	run_against, vote_against, campaign_against	Political Leader
businessman:pundit	Businessman	sue, bribe, blackmail, lead_astray, pay_off, debate_with	Pundit
businessman:tv host	Businessman	are_interviewed_by, answer_questions_from, debate_with, are_interrogated_by	TV Host
businessman:interviewer	Businessman	are_interviewed_by, answer_questions_from, debate_with, are_interrogated_by	Interviewer
director:writer	Director	overwork, take_advantage_of, disrespect, withhold_payment_from, refuse_to_pay	Writer
director:novelist	Director	overwork, take_advantage_of, disrespect, withhold_payment_from, refuse_to_pay	Novelist
pundit:campaigner	Pundit	interview, write_about, disagree_with, argue_with	Campaigner
pundit:director	Pundit	stand_up_to	Director
conservative:campaigner	Conservative	disagree_with, debate_with, are_insulted_by, ignore	Campaigner
conservative:director	Conservative	stand_up_to	Director
actor:actor	Actor	spread_lies_about, upstage, are_upstaged_by	Actor
actor:writer	Actor	speak_for, overshadow	Writer
actor:director	Actor	obey, disobey, are_overworked_by, stand_up_to, upstage	Director
action star:actor	Action Star	intimidate, threaten, bully, taunt, upstage	Actor
action star:writer	Action Star	are_pushed_too_far_by	Writer
action star:director	Action Star	are_pushed_too_far_by, obey, disobey	Director
writer:escapologist	Writer	write_about, spread_lies_about	Escapologist
writer:magician	Writer	write_about, spread_lies_about, snitch_on	Magician
novelist:escapologist	Novelist	write_about, spread_lies_about	Escapologist
novelist:magician	Novelist	write_about, spread_lies_about	Magician
spy:mastermind	Spy	snitch_to, report_to, tip_off, are_handled_by, leak_to, spy_on	Mastermind
spy:criminal	Spy	hunt, track_down, spy_on, monitor, testify_against	Criminal
spy:villain	Spy	hunt, track_down, spy_on, monitor, testify_against	Villain
spy:father	Spy	hunt, track_down, spy_on, monitor, testify_against	Father
adventurer:mastermind	Adventurer	pursue, lay_a_trap_for, underestimate, are_tricked_by, fight_against, cause_trouble_for	Mastermind
adventurer:criminal	Adventurer	fight_against, hunt,  testify_against, hit, are_corrupted_by, are_bought_off_by, are_led_astray_by, cause_trouble_for	Criminal
adventurer:villain	Adventurer	fight_against, hunt,  testify_against, hit, are_corrupted_by, are_bought_off_by, are_led_astray_by, cause_trouble_for	Villain
adventurer:father	Adventurer	fight_against, hunt,  testify_against, hit, are_corrupted_by, are_bought_off_by, are_led_astray_by	Father
secret agent:mastermind	Secret Agent	snitch_to, report_to, tip_off, are_handled_by, leak_to, spy_on	Mastermind
secret agent:criminal	Secret Agent	hunt, track_down, spy_on, monitor, testify_against	Criminal
secret agent:villain	Secret Agent	hunt, track_down, spy_on, monitor, testify_against	Villain
secret agent:father	Secret Agent	hunt, track_down, spy_on, monitor, testify_against	Father
philosopher:philosopher	Philosopher	debate_with, disagree_with, hit, convert, study_under, read_the_works_of	Philosopher
philosopher:intellectual	Philosopher	debate_with, disagree_with, hit, convert, study_under, read_the_works_of, break_with	Intellectual
philosopher:campaigner	Philosopher	inspire, mentor, impress, leecture_to, preach_to	Campaigner
philosopher:communist	Philosopher	inspire, mentor, impress, leecture_to, preach_to	Communist
capitalist:philosopher	Capitalist	are_inspired_by, look_up_to, follow, study_under, read_the_works_of, study	Philosopher
capitalist:intellectual	Capitalist	are_inspired_by, look_up_to, follow, study_under, read_the_works_of, study	Intellectual
capitalist:campaigner	Capitalist	buy_off, pay_off, bribe, blackmail, bully, intimidate, threaten	Campaigner
capitalist:communist	Capitalist	disagree_with, debate_with, fight_against, spread_lies_about, underestimate, are_underestimated_by, campaign_against	Communist
writer:philosopher	Writer	write_about, study_under, write_for, popularize	Philosopher
writer:intellectual	Writer	write_about, study_under, write_for, popularize	Intellectual
writer:campaigner	Writer	write_about, study_under, write_for, shill_for	Campaigner
writer:communist	Writer	write_about, study_under, write_for, propagandize_for	Communist
president:politician	President	campaign_for, vote_for, lose_faith_in, vote_against, shill_for, lie_for, advise	Politician
orator:politician	Orator	speak_for, write_for	Politician
president:first lady	President	marry, divorce, cheat_on	First Lady
politician:first lady	Politician	marry, divorce, cheat_on	First Lady
orator:first lady	Orator	marry, divorce, cheat_on	First Lady
president:terrorist	President	hunt, track_down, spy_on, monitor, arrest, mock, taunt, intimidate_with, forgive, incarcerate, imprison, execute	Terrorist
president:criminal	President	forgive, arrest, imprison, incarcerate, cast_out	Criminal
president:zealot	President	inspire, are_assassinated_by, are_sickened_by, are_followed_by	Zealot
politician:terrorist	Politician	hunt, track_down, spy_on, monitor, arrest, mock, taunt, intimidate_with, forgive, incarcerate, imprison, execute	Terrorist
politician:criminal	Politician	forgive, arrest, imprison, incarcerate, cast_out	Criminal
politician:zealot	Politician	inspire, are_assassinated_by, are_sickened_by, are_followed_by	Zealot
orator:terrorist	Orator	spread_lies_about, preach_to, mock, taunt	Terrorist
orator:criminal	Orator	testify_against, speak_to	Criminal
orator:zealot	Orator	inspire, are_assassinated_by, are_sickened_by, are_followed_by	Zealot
child:teacher	Child	learn_from, study_under, are_taught_by, are_scolded_by, are_lectured_by	Teacher
child:principal	Child	learn_from, study_under, are_taught_by, are_scolded_by	Principal
child:bureaucrat	Child	stand_up_to, cause_trouble_for	Bureaucrat
child:disciplinarian	Child	are_scolded_by, are_disciplined_by, are_whipped_by, hide_from	Disciplinarian
schoolkid:teacher	Schoolkid	learn_from, study_under, are_taught_by, are_scolded_by, are_lectured_by, are_educated_by	Teacher
schoolkid:principal	Schoolkid	learn_from, study_under, are_taught_by, are_scolded_by, are_educated_by	Principal
schoolkid:bureaucrat	Schoolkid	stand_up_to, cause_trouble_for	Bureaucrat
schoolkid:disciplinarian	Schoolkid	are_scolded_by, are_disciplined_by, are_whipped_by, hide_from	Disciplinarian
child:sidekick	Child	play_with, bully, are_bullied_by	Sidekick
child:villain	Child	lay_a_trap_for, taunt, hide_from, snitch_on	Villain
child:killer	Child	lay_a_trap_for, snitch_on, hide_from	Killer
schoolkid:sidekick	Schoolkid	play_with, bully, are_bullied_by	Sidekick
schoolkid:villain	Schoolkid	lay_a_trap_for, taunt, hide_from, snitch_on	Villain
schoolkid:killer	Schoolkid	lay_a_trap_for, snitch_on, hide_from	Killer
child:bully	Child	are_bullied_by, stand_up_to, are_victimized_by	Bully
child:schoolkid	Child	play_with, bully, are_bullied_by	Schoolkid
child:juvenile delinquent	Child	are_bullied_by, stand_up_to	Juvenile Delinquent
schoolkid:bully	Schoolkid	are_bullied_by, stand_up_to, are_victimized_by	Bully
schoolkid:schoolkid	Schoolkid	learn_with, mock, taunt, humiliate, spread_lies_about	Schoolkid
schoolkid:juvenile delinquent	Schoolkid	are_bullied_by, stand_up_to	Juvenile Delinquent
traitor:general	Traitor	betray, undermine, disobey	General
traitor:president	Traitor	betray, undermine	President
traitor:political leader	Traitor	betray, undermine	Political Leader
general:general	General	fight_against, defeat, are_defeated_by, cpmpete_with, compete_against	General
general:president	General	report_to, obey, disobey, usurp, supplant, overthrow, are_dismissed_by, are_appointed_by, turn_against	President
general:political leader	General	report_to, obey, disobey, usurp, supplant, overthrow, are_dismissed_by, are_appointed_by, turn_against	Political Leader
president:historian	President	are_chronicled_by, are_disrespected_by, are_interviewed_by, answer_questions_from	Historian
president:campaigner	President	are_overthrown_by, are_toppled_by, silence, are_criticized_by	Campaigner
politician:historian	Politician	are_chronicled_by, are_disrespected_by, are_interviewed_by, answer_questions_from	Historian
politician:campaigner	Politician	silence, are_criticized_by	Campaigner
lecher:politician	Lecher	are_chastised_by, are_criticized_by, blackmail, corrupt, lead_astray	Politician
lecher:historian	Lecher	are_chronicled_by, are_disrespected_by, are_interviewed_by, answer_questions_from	Historian
lecher:campaigner	Lecher	silence, are_criticized_by, are_blackmailed_by	Campaigner
inventor:ceo	Inventor	are_defrauded_by, are_cheated_by, are_exploited_by, are_underpaid_by	CEO
inventor:businessman	Inventor	are_defrauded_by, are_cheated_by, are_exploited_by, are_underpaid_by	Businessman
inventor:visionary	Inventor	compete_with, are_inspired_by, look_up_to, copy, look_up_to	Visionary
inventor:pioneer	Inventor	compete_with, are_inspired_by, look_up_to, copy	Pioneer
businessman:ceo	Businessman	finance, fund, sell_to, sell_via, sell_through, sue, testify_against, guarantee	CEO
businessman:businessman	Businessman	negotiate_with, settle_with, sue	Businessman
businessman:visionary	Businessman	study_under, are_overshadowed_by, look_up_to, fail_to_impress, break_with	Visionary
businessman:pioneer	Businessman	compete_with, are_inspired_by, look_up_to, copy, learn_from	Pioneer
programmer:ceo	Programmer	are_hired_by, are_underpaid_by, are_overworked_by	CEO
programmer:businessman	Programmer	are_hired_by, are_underpaid_by, are_overworked_by	Businessman
programmer:visionary	Programmer	study_under, are_overshadowed_by, look_up_to	Visionary
programmer:pioneer	Programmer	study_under, are_overshadowed_by, look_up_to, copy	Pioneer
ceo:ceo	CEO	sue, spread_lies_about, joke_about, fight_against	CEO
ceo:businessman	CEO	are_funded_by, are_sued_by, are_supplanted_by, are_deposed_by, cede_power_to, fail_to_deliver_for, fail_to_impress	Businessman
ceo:visionary	CEO	study_under, are_overshadowed_by, look_up_to, fail_to_impress	Visionary
ceo:pioneer	CEO	study_under, are_overshadowed_by, look_up_to, fail_to_impress	Pioneer
bounty hunter:hero	Bounty Hunter	hinder, compete_against, pursue, track_down, lay_a_trap_for, capture	Hero
bounty hunter:smuggler	Bounty Hunter	capture, hinder, compete_against, pursue, track_down, lay_a_trap_for	Smuggler
bounty hunter:rebel	Bounty Hunter	capture, hinder, compete_against, pursue, track_down, lay_a_trap_for	Rebel
villain:hero	Villain	are_undermined_by, are_defeated_by, underestimate, cede_power_to, lead_astray	Hero
villain:smuggler	Villain	lead_astray, corrupt, withhold_payment_from, refuse_to_pay, buy_from	Smuggler
villain:rebel	Villain	silence, suppress, repress, round_up, are_resisted_by	Rebel
bounty hunter:farm boy	Bounty Hunter	are_unimpressed_with, are_unimpressed_by, underestimate	Farm boy
bounty hunter:jedi knight	Bounty Hunter	are_unimpressed_with, are_unimpressed_by, underestimate	Jedi Knight
villain:farm boy	Villain	are_unimpressed_with, are_unimpressed_by, underestimate, are_overthrown_by, are_deposed_by	Farm boy
villain:jedi knight	Villain	fight_against, taunt, are_defeated_by, are_intrigued_by, look_up_to	Jedi Knight
billionaire:maniac	Billionaire	intimidate_with, threaten_with, lend_to	Maniac
billionaire:madman	Billionaire	refuse_to_pay, withhold_payment_from, are_blackmailed_by, lend_to	Madman
billionaire:criminal	Billionaire	refuse_to_pay, withhold_payment_from, are_blackmailed_by, profit_from	Criminal
billionaire:terrorist	Billionaire	refuse_to_pay, withhold_payment_from, are_blackmailed_by, fund, lend_to, guarantee	Terrorist
billionaire:clown	Billionaire	are_impersonated_by, are_mocked_by, are_taunted_by,  silence, sue, condescend_to	Clown
philanthropist:maniac	Philanthropist	buy_off, pay_off, are_begged_by, fund, finance	Maniac
